City,District,Username,Email,Password,Role,Status,Pincode,Created
Chennai,Chennai,chennai_chennai_admin,chennai_chennai_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600001,2025-10-21 18:28:21
Tondiarpet Fort St George,Chennai,tondiarpetfortstgeorge_chennai_admin,tondiarpetfortstgeorge_chennai_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600003,2025-10-21 18:28:21
Perambur Purasawalkam,Chennai,peramburpurasawalkam_chennai_admin,peramburpurasawalkam_chennai_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600007,2025-10-21 18:28:21
Egmore Nungambakka,Chennai,egmorenungambakka_chennai_admin,egmorenungambakka_chennai_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600008,2025-10-21 18:28:22
Egmore Nungambakkam,Chennai,egmorenungambakkam_chennai_admin,egmorenungambakkam_chennai_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600013,2025-10-21 18:28:22
Chennai City Corporation,Chennai,chennaicitycorporation_chennai_admin,chennaicitycorporation_chennai_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600015,2025-10-21 18:28:22
Saidapet,Kanchipuram,saidapet_kanchipuram_admin,saidapet_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600016,2025-10-21 18:28:22
Ambattur,Tiruvallur,ambattur_tiruvallur_admin,ambattur_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600019,2025-10-21 18:28:22
Sriperumbudur,Kanchipuram,sriperumbudur_kanchipuram_admin,sriperumbudur_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600044,2025-10-21 18:28:23
Tambaram,Kanchipuram,tambaram_kanchipuram_admin,tambaram_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600045,2025-10-21 18:28:23
Chinglepet,Kanchipuram,chinglepet_kanchipuram_admin,chinglepet_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600048,2025-10-21 18:28:23
Ponneri,Tiruvallur,ponneri_tiruvallur_admin,ponneri_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600051,2025-10-21 18:28:24
Poonamalee,Tiruvallur,poonamalee_tiruvallur_admin,poonamalee_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600056,2025-10-21 18:28:24
Avadi,Tiruvallur,avadi_tiruvallur_admin,avadi_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600062,2025-10-21 18:28:24
Poonamallee,Tiruvallur,poonamallee_tiruvallur_admin,poonamallee_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600071,2025-10-21 18:28:25
Ambattur,Chennai,ambattur_chennai_admin,ambattur_chennai_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600101,2025-10-21 18:28:25
Chennai Corporation,Tiruvallur,chennaicorporation_tiruvallur_admin,chennaicorporation_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600107,2025-10-21 18:28:25
Kancheepuram,Kanchipuram,kancheepuram_kanchipuram_admin,kancheepuram_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600115,2025-10-21 18:28:25
Chengalpattu,Kanchipuram,chengalpattu_kanchipuram_admin,chengalpattu_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600127,2025-10-21 18:28:26
Sholinganallur,Kanchipuram,sholinganallur_kanchipuram_admin,sholinganallur_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600129,2025-10-21 18:28:26
Tiruvallur,Tiruvallur,tiruvallur_tiruvallur_admin,tiruvallur_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,601103,2025-10-21 18:28:26
Gummidipoondi,Tiruvallur,gummidipoondi_tiruvallur_admin,gummidipoondi_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,601201,2025-10-21 18:28:27
Gummidipundi,Tiruvallur,gummidipundi_tiruvallur_admin,gummidipundi_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,601202,2025-10-21 18:28:27
Thiruvallur,Tiruvallur,thiruvallur_tiruvallur_admin,thiruvallur_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,602001,2025-10-21 18:28:27
Tirukalikundram,Kanchipuram,tirukalikundram_kanchipuram_admin,tirukalikundram_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,603102,2025-10-21 18:28:28
